n;nbVoisins;seed;nbSols;nbNodes;nbFails;time;allDiff;p
100;3.0;1326666518195;1;17;2;18;0;0
100;3.0;1326666518195;1;17;2;37;0;1
100;3.0;1326666518195;1;17;2;20;0;2
100;3.0;1326666518195;1;17;2;14;0;3
100;3.0;1326666518195;1;17;2;25;0;4
100;3.0;1326666518195;1;17;2;31;0;5
100;3.0;1326666518195;1;17;2;20;0;6
100;3.0;1326666518195;1;17;2;18;0;7
100;3.0;1326666518195;1;17;2;180;0;8
100;3.0;1326666518195;1;17;2;178;0;9
100;3.0;1326666518195;1;17;2;53;0;10
100;3.0;1326666518195;1;17;2;46;0;11
100;3.0;1326666518195;1;17;2;55;0;12
100;3.0;1326666518195;1;17;2;121;0;13
100;3.0;1326666518195;1;17;2;143;0;14
100;3.0;1326666518195;1;17;2;128;0;15
