instance;sols;fails;time;status;opt;obj;param;
rc_201.1.txt;24;388;1979;true;15910587;4445425;9;
rc_201.2.txt;8;685;2459;true;25622973;7115372;9;
rc_201.3.txt;18;12667;60000;true;29934102;7926116;9;
rc_201.4.txt;12;10869;18714;true;28912140;7936351;9;
rc_202.1.txt;12;17552;60002;true;31866738;8397251;9;
rc_202.2.txt;1;16;17;true;10133805;3041418;9;
rc_202.3.txt;31;22207;60004;true;30639000;8411131;9;
rc_202.4.txt;25;18148;60003;true;32251770;8225587;9;
rc_203.1.txt;21;2513;3265;true;16675140;4534818;9;
rc_203.2.txt;0;42306;60001;null;33493366;33493367;9;
rc_203.3.txt;0;28825;60000;null;40573740;40573741;9;
rc_203.4.txt;13;67;76;true;12970144;3142893;9;
rc_204.1.txt;0;22348;60001;null;48437730;48437731;9;
rc_204.2.txt;10;19647;60001;true;30173776;7352331;9;
rc_204.3.txt;15;62899;60000;true;17533300;4754179;9;
rc_205.1.txt;14;573;536;true;8607210;3432094;9;
rc_205.2.txt;1;54986;60000;true;25383008;8542362;9;
rc_205.3.txt;0;16634;60000;null;38778840;38778841;9;
rc_205.4.txt;10;28663;60000;true;28320936;7641417;9;
rc_206.1.txt;2;1;2;true;2650580;1178478;9;
rc_206.2.txt;0;18752;60000;null;29973146;29973147;9;
rc_206.3.txt;5;29755;60000;true;19657274;5836440;9;
rc_206.4.txt;0;16929;60002;null;35376666;35376667;9;
rc_207.1.txt;7;30983;60004;true;33404000;9338317;9;
rc_207.2.txt;0;30670;60001;null;27412384;27412385;9;
rc_207.3.txt;0;17894;60002;null;23324102;23324103;9;
rc_207.4.txt;1;4;1;true;2734823;1196388;9;
rc_208.1.txt;0;21018;60002;null;40329120;40329121;9;
rc_208.2.txt;12;21269;60000;true;23124570;5632913;9;
rc_208.3.txt;0;31696;60000;null;28382034;28382035;9;
